domain,bd_index,chinese,reverse_index,url,illegal,pan_analysis,sgsr
zhaogui.org,15,chinese,10,,正常,正常,4
zhzqzs.com,1,chinese,1,,正常,正常,3
ziboguolu.com,1,chinese,1,,正常,正常,3
zqsilian.com,0,no_language,0,,正常,正常,3
zvofw.com,0,no_language,0,,正常,正常,3
zhshouhui.com,9,chinese,9,,正常,正常,3
zuanlifang.com,0,no_language,0,,正常,正常,3
zjfsi.com,11,chinese,10,,包含违禁词,正常,4
zlhzs.com,24,chinese,9,,包含违禁词,泛解析,4
zlyiyuan.com,7,chinese,7,,包含违禁词,正常,3
zzyxmp.com,1,english,1,,正常,正常,3
zywh.org,10,chinese,10,,正常,泛解析,3
